period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27
3	144	1983	15.820643	95.474632	0	11.454024	15.731362	94.791695	5.0724649	9.7178001	3.3258569	44.996563	69.868752	78.244797	5.1285167	11.800338	-9	1	1	1	6	1639561088	93.275589	0	11.454024	15.586111	93.135185	5.0915818	8.4907999	3.189579	55.350334	64.777649	55.753422	4.909956	8.5700064	-9	1	1	1	6.4000001	1293244160	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	144	1988	17.664297	100	0	11.454024	15.962276	91.600937	5.0688186	11.0012	5.1929846	45.031544	68.438148	103.10522	5.3368759	18.899059	-9	1	1	1	6.4000001	1978217984	95.474632	0	11.454024	15.731362	94.791695	5.0724649	9.7178001	3.3258569	44.996563	69.868752	78.244797	5.1285167	11.800338	-9	1	1	1	6	1639561088	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7	147	2003	22.858137	100	0	13.997832	16.332434	93.292328	4.681756	29.8876	3.8181818	59.561047	39.33379	58.78928	6.8148532	3.7734311	6.8000002	8.6000004	1	1	2	4175072256	100	0	13.997832	16.175282	94.19352	5.2765961	27.054399	2.1362276	52.66164	44.964661	103.5058	5.6716738	1.7687227	6.1999998	7.4000001	1	1	2.5999999	2780186368	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8	147	2008	24.139414	100	0	13.997832	16.482164	93.192261	4.3936615	33.003799	3.2051282	53.118153	38.842491	23.48172	7.7008371	4.9025278	7	9	1	1	2	8018649600	100	0	13.997832	16.332434	93.292328	4.681756	29.8876	3.8181818	59.561047	39.33379	58.78928	6.8148532	3.7734311	6.8000002	8.6000004	1	1	2	4175072256	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	152	1983	24.305607	100	0	7.6157908	13.807221	52.097206	6.2146258	42.3354	.69592375	98.319626	48.976788	63.57848	3.1330955	8.7658062	9.8000002	9.8000002	0	1	2	1108164096	101.665	0	7.6157908	13.749168	62.640289	5.5054007	42.7878	1.606733	103.1947	50.442619	37.390999	2.9436486	15.959328	9	9	0	1	2.4000001	1001460160	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4	152	1988	20.1943	99.156296	0	7.6157908	13.834573	46.39222	6.6397991	43.27	2	130.96831	45.814316	53.8195	4.4455504	10.598532	10	10	0	1	2	2023198848	100	0	7.6157908	13.807221	52.097206	6.2146258	42.3354	.69592375	98.319626	48.976788	63.57848	3.1330955	8.7658062	9.8000002	9.8000002	0	1	2	1108164096	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	152	1993	21.981504	95.408318	0	7.6157908	13.910821	42.776096	7.1508589	43.530399	0	122.9836	45.358845	48.50106	5.3314548	7.0197058	10	10	0	1	1.2	3392726784	99.156296	0	7.6157908	13.834573	46.39222	6.6397991	43.27	2	130.96831	45.814316	53.8195	4.4455504	10.598532	10	10	0	1	2	2023198848	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6	152	1998	22.152739	96.222809	0	7.6157908	13.997832	40.266445	8.0212269	42.9156	1.8181819	127.78518	51.347389	47.797024	5.8802009	5.2913518	10	10	0	1	1	4488095744	95.408318	0	7.6157908	13.910821	42.776096	7.1508589	43.530399	0	122.9836	45.358845	48.50106	5.3314548	7.0197058	10	10	0	1	1.2	3392726784	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7	152	2003	22.978035	98.769501	0	7.6157908	14.013841	37.511829	8.6639509	42.375999	0	118.28712	47.536617	52.035561	6.5017147	5.803596	10	10	0	1	1	5609639936	96.222809	0	7.6157908	13.997832	40.266445	8.0212269	42.9156	1.8181819	127.78518	51.347389	47.797024	5.8802009	5.2913518	10	10	0	1	1	4488095744	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8	152	2008	22.735188	98.816467	0	7.6157908	14.077875	32.751663	9.2396231	41.9394	1.6666666	119.81816	39.179001	48.178341	9.1432562	5.3987284	10	10	0	1	1	8642669568	98.769501	0	7.6157908	14.013841	37.511829	8.6639509	42.375999	0	118.28712	47.536617	52.035561	6.5017147	5.803596	10	10	0	1	1	5609639936	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6	164	1998	32.971107	100	0	13.621064	14.413492	73.624168	6.0472207	31.349001	2.2875817	91.410416	65.970596	21.31946	7.3381548	9.851512	6	9	1	0	2	4010841600	100	0	13.621064	14.271824	78.846542	6.2449484	28.950199	4.0119047	97.886063	68.402283	18.542433	7.4909329	10.444088	6	9	.2	0	2	3461468160	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7	164	2003	31.380644	100	0	13.621064	14.508157	69.250969	5.9630241	33.974998	1.0526316	88.287178	65.064415	25.245899	7.6398802	6.0856061	6	9	1	0	2	5119099392	100	0	13.621064	14.413492	73.624168	6.0472207	31.349001	2.2875817	91.410416	65.970596	21.31946	7.3381548	9.851512	6	9	1	0	2	4010841600	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2	174	1978	8.814785	100	0	13.722046	18.080046	82.565041	5.8780556	27.3624	2.9503911	46.401043	52.931351	15.706268	8.2648668	12.57804	0	3.5	1	0	4	66184482816	100	0	13.722046	17.938818	80.572563	5.9396253	24.402201	2.7097082	37.434254	61.074135	12.01676	7.7466488	15.406988	-7	1	1	0	6	24855035904	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	174	1983	8.9298506	100	0	13.722046	18.221634	85.500397	5.9706602	30.535	2.5674818	32.517586	44.869007	51.40258	8.5009155	11.173116	1.4	4	1	.40000001	4	82254995456	100	0	13.722046	18.080046	82.565041	5.8780556	27.3624	2.9503911	46.401043	52.931351	15.706268	8.2648668	12.57804	0	3.5	1	0	4	66184482816	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	174	1988	13.49258	100	0	13.722046	18.345228	86.684235	6.0787816	33.903999	2.7078466	42.819477	44.577126	131.6468	8.901166	31.25625	-6.1999998	1.8	1	1	5.8000002	33857257472	100	0	13.722046	18.221634	85.500397	5.9706602	30.535	2.5674818	32.517586	44.869007	51.40258	8.5009155	11.173116	1.4	4	1	.40000001	4	82254995456	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	198	1993	19.347149	100	4.4000001	10.113343	15.623633	100.09985	4.578958	7.1427999	-4.5263715	34.039108	36.070141	75.394417	5.4841566	20.918116	-6.5999999	1	1	.80000001	6.4000001	1686260608	100	.60000002	10.113343	15.740412	100.51566	4.2726855	5.2723999	3.3880575	19.439466	29.242334	29.46814	5.3081551	2.9255033	-7	1	1	1	6	2483058176	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
