period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12
2	161	1978	19.09059	100	3	13.008747	16.748581	85.760368	7.6326928	39.8116	2.1637428	51.741394	62.847996	54.577721	6.1433206	9.3460217	-8.1999998	2	1	1	3.8	6.6843019	100	.60000002	13.008782	16.612349	98.423759	7.9561124	36.419201	2.4264705	48.321114	65.669937	31.89978	5.7983694	7.7036653	-9	2	1	1	5	6.0427756	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3	161	1983	22.060642	100	3	13.008747	16.868883	77.26265	7.6005535	43.351398	1.9523809	57.286133	46.134834	94.67028	6.3116231	8.255806	-8	2	1	1	4	6.6054544	100	3	13.008747	16.748581	85.760368	7.6326928	39.8116	2.1637428	51.741394	62.847996	54.577721	6.1433206	9.3460217	-8.1999998	2	1	1	3.8	6.6843019	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4	161	1988	20.858759	100	2.4000001	13.008747	16.984705	72.909851	6.9236054	46.946201	2.6119895	52.963001	37.80571	105.1272	6.8393469	5.8015318	-8	2	1	1	4	6.8956056	100	3	13.008747	16.868883	77.26265	7.6005535	43.351398	1.9523809	57.286133	46.134834	94.67028	6.3116231	8.255806	-8	2	1	1	4	6.6054544	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5	161	1993	28.117607	100	0	13.008747	17.080858	66.680183	7.1661444	50.371601	1.5692308	53.139187	39.107727	86.291344	7.954772	4.8255038	-7.1999998	2	1	1	5.1999998	7.1316276	100	2.4000001	13.008747	16.984705	72.909851	6.9236054	46.946201	2.6119895	52.963001	37.80571	105.1272	6.8393469	5.8015318	-8	2	1	1	4	6.8956056	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
6	161	1998	28.029905	100	0	13.008747	17.147459	58.179211	7.5591631	52.677799	1.4550265	54.535892	40.113487	74.303596	8.7262678	3.0695641	-6.4000001	2.5999999	1	1	5	7.2362485	100	0	13.008747	17.080858	66.680183	7.1661444	50.371601	1.5692308	53.139187	39.107727	86.291344	7.954772	4.8255038	-7.1999998	2	1	1	5.1999998	7.1316276	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7	161	2003	33.707893	97.467918	0	13.008747	17.203148	49.737247	7.9544897	54.316002	.68965518	63.56942	40.853062	65.234138	9.6439915	1.021059	-6	3	1	1	5	7.3878269	100	0	13.008747	17.147459	58.179211	7.5591631	52.677799	1.4550265	54.535892	40.113487	74.303596	8.7262678	3.0695641	-6.4000001	2.5999999	1	1	5	7.2362485	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
8	161	2008	33.760956	97.596741	0	13.008747	17.262197	43.902161	8.2223845	55.993599	1.3118279	77.430534	41.389084	51.956402	10.564976	2.6941781	-6	3	1	1	5	7.8655572	97.467918	0	13.008747	17.203148	49.737247	7.9544897	54.316002	.68965518	63.56942	40.853062	65.234138	9.6439915	1.021059	-6	3	1	1	5	7.3878269	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
5	166	1993	15.731486	100	0	11.8706	16.849821	77.317131	6.1173434	10.0786	3.1637428	49.323521	39.800346	63.91164	3.1424267	10.58509	5	5	0	1	2.5999999	5.2602701	100	0	11.8706	16.716078	77.968781	6.003664	8.2667999	2.4264705	33.542427	34.06134	49.633018	2.7175558	12.1758	-.60000002	2.5999999	0	1	3.4000001	5.2142982	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	166	1998	15.747686	100	2	11.871089	16.959139	75.352196	6.2919903	12.4166	1.8614719	59.64994	45.621174	62.006161	4.2075615	6.5138922	5.4000001	6.1999998	0	1	3	5.4043818	100	0	11.8706	16.849821	77.317131	6.1173434	10.0786	3.1637428	49.323521	39.800346	63.91164	3.1424267	10.58509	5	5	0	1	2.5999999	5.2602701	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	166	2003	15.490344	100	2	11.873044	17.080858	71.313721	6.5590444	14.4408	1.7028985	47.297729	47.564949	58.853958	4.6403394	5.6616278	-3.5999999	6.4000001	.60000002	1	4.5999999	5.5472455	100	2	11.871089	16.959139	75.352196	6.2919903	12.4166	1.8614719	59.64994	45.621174	62.006161	4.2075615	6.5138922	5.4000001	6.1999998	0	1	3	5.4043818	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
2	180	1978	11.296136	100	.80000001	13.555288	18.137383	81.927177	7.0544991	27.375999	3.3058774	25.045074	42.254715	56.757462	6.051568	9.1271477	-4	2.2	.60000002	1	5.8000002	5.6444507	100	3	13.555288	17.983023	80.840775	6.9981461	25.7314	2.8822248	20.695259	40.15715	66.862938	5.7045465	15.293406	5.5999999	7	0	1	3.5	5.0792317	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
